"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Gourmedise Fusion Cafe","4.2","109","No. 3, Zhongshan Rd",,"Beitou District, Taipei City","TW","http://www.tyq.com.tw/restaurants/gourmedise-fusion-cafe/","+886 2 2898 8661","Restaurant","https://www.google.com/maps/search/?api=1&query=Gourmedise%20Fusion%20Cafe&query_place_id=ChIJ8R3JH0WuQjQR_5ttGeLOWTs"
"Tea Colors Cafe","4.3","202","No. 28-1號, Zhongshan Rd",,"Beitou District, Taipei City","TW",,"+886 2 2895 1360","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=Tea%20Colors%20Cafe&query_place_id=ChIJH87WoEOuQjQRJKe8BcczcQE"
"拾米屋 SheMe house","4.2","1314","Datong St, 153號一號倉庫",,"Beitou District, Taipei City","TW","http://www.sheme.tw/","+886 2 2892 2800","Coffee shop","https://www.google.com/maps/search/?api=1&query=%E6%8B%BE%E7%B1%B3%E5%B1%8B%20SheMe%20house&query_place_id=ChIJxYT9xlGuQjQRcOe6AcacQoI"
"Co Co","4","247","No. 280號, Zhonghe St",,"Beitou District, Taipei City","TW",,"+886 2 2893 3109","Ice cream and drink shop","https://www.google.com/maps/search/?api=1&query=Co%20Co&query_place_id=ChIJ98e2Hk-uQjQRONMUaasrAPc"
"HOUSE CAFE","4.5","517","Dehui St, 4號1樓",,"Zhongshan District, Taipei City","TW","https://www.facebook.com/HOUSE-CAFE-347111199333240/?modal=admin_todo_tour","+886 2 2599 7058","Cafe","https://www.google.com/maps/search/?api=1&query=HOUSE%20CAFE&query_place_id=ChIJGeLR8bapQjQRWgNzDA7vBvA"
"北投飢廠","4.5","176","中央北路三段17-1號",,"Beitou District, Taipei City","TW","https://www.facebook.com/%E5%8C%97%E6%8A%95%E9%A3%A2%E5%BB%A0%E6%97%A9%E5%8D%88%E9%A4%90%E4%B8%AD%E8%A5%BF%E5%BC%8F%E7%B0%A1%E9%A4%90-109367787565858/","+886 2 2898 6400","Restaurant","https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%8A%95%E9%A3%A2%E5%BB%A0&query_place_id=ChIJf5b9IeOvQjQRXyHwj63mp6A"
"相思起小館","4.1","109","No. 495號, Section 4, Zhongyang N Rd",,"Beitou District, Taipei City","TW","https://www.facebook.com/%E7%9B%B8%E6%80%9D%E8%B5%B7%E5%B0%8F%E9%A4%A8-136142527158858/","+886 2 2894 2916","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E7%9B%B8%E6%80%9D%E8%B5%B7%E5%B0%8F%E9%A4%A8&query_place_id=ChIJb4TLv3KvQjQR880suB_3bBY"
"Baking Kitchen","5","9","No. 328號, Section 4, Zhongyang N Rd",,"Beitou District, Taipei City","TW","https://www.facebook.com/328baking/","+886 905 669 736","Bakery","https://www.google.com/maps/search/?api=1&query=Baking%20Kitchen&query_place_id=ChIJHafrTQqvQjQRI7BLSMxeGTs"
"Miau Ban Garden Restaurant","4.2","3196","No. 56-7, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://www.8898go.com/miauban/","+886 2 2861 5419","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Miau%20Ban%20Garden%20Restaurant&query_place_id=ChIJiYamzvWxQjQR4grX7xDjjN8"
"迪生國際有限公司","4.6","16","中央北路三段63號1樓",,"Beitou District, Taipei City","TW","http://www.disn.com.tw/","+886 2 2895 1239","Coffee wholesaler","https://www.google.com/maps/search/?api=1&query=%E8%BF%AA%E7%94%9F%E5%9C%8B%E9%9A%9B%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&query_place_id=ChIJ70xobOKrQjQRmDyAekoshZw"
"Kuandu Museum of Fine Arts","4.4","1004","No. 1, Xueyuan Rd",,"Beitou District, Taipei City","TW","http://kdmofa.tnua.edu.tw/","+886 2 2896 1000","Art museum","https://www.google.com/maps/search/?api=1&query=Kuandu%20Museum%20of%20Fine%20Arts&query_place_id=ChIJTeIZgaCvQjQRlMvYvVAE6WE"
"Dandelion","4.9","224","Lide Rd, 8號1樓",,"Beitou District, Taipei City","TW",,"+886 2 2891 9281","Vegetarian restaurant","https://www.google.com/maps/search/?api=1&query=Dandelion&query_place_id=ChIJfVmN1mqvQjQRYQmHg9eAUno"
"COFFEE LAW 華碩店 (公司大樓內，未對外)","4.5","2","No. 15號, Lide Rd",,"Beitou District, Taipei City","TW",,,"Coffee shop","https://www.google.com/maps/search/?api=1&query=COFFEE%20LAW%20%E8%8F%AF%E7%A2%A9%E5%BA%97%20(%E5%85%AC%E5%8F%B8%E5%A4%A7%E6%A8%93%E5%85%A7%EF%BC%8C%E6%9C%AA%E5%B0%8D%E5%A4%96)&query_place_id=ChIJOzauKuuvQjQRNfmEj9lO75k"
"卓斐斯COFFEE","4.8","5","No. 125號, Lide Rd",,"Beitou District, Taipei City","TW",,,"Coffee shop","https://www.google.com/maps/search/?api=1&query=%E5%8D%93%E6%96%90%E6%96%AFCOFFEE&query_place_id=ChIJT-zXxMyvQjQRiSx4HjO6-eE"
"阿義複合式早餐","5","7","No. 164號, Xinxing Rd",,"Beitou District, Taipei City","TW",,"+886 2 898 3950","Breakfast restaurant","https://www.google.com/maps/search/?api=1&query=%E9%98%BF%E7%BE%A9%E8%A4%87%E5%90%88%E5%BC%8F%E6%97%A9%E9%A4%90&query_place_id=ChIJI3WXwa2vQjQROM-x35kRWss"
"尚品豆漿-飯糰、手工蛋餅","4.8","8","No. 166號, Xinxing Rd",,"Beitou District, Taipei City","TW",,"+886 2 892 9482","Restaurant","https://www.google.com/maps/search/?api=1&query=%E5%B0%9A%E5%93%81%E8%B1%86%E6%BC%BF-%E9%A3%AF%E7%B3%B0%E3%80%81%E6%89%8B%E5%B7%A5%E8%9B%8B%E9%A4%85&query_place_id=ChIJWwyfwa2vQjQRWMobTzNWp24"
"有時Cafe-Between times","4.9","87","No. 258號, Section 2, Linong St",,"Beitou District, Taipei City","TW","https://www.facebook.com/profile.php?id=100093549814049&mibextid=LQQJ4d",,"Cafe","https://www.google.com/maps/search/?api=1&query=%E6%9C%89%E6%99%82Cafe-Between%20times&query_place_id=ChIJPxvNErmvQjQRPkuNrr72PNQ"
"翁記食堂","4.8","20","No. 339號, Datong St",,"Beitou District, Taipei City","TW","https://chop-bar-1876.business.site/?utm_source=gmb&utm_medium=referral","+886 979 016 583","Chop bar","https://www.google.com/maps/search/?api=1&query=%E7%BF%81%E8%A8%98%E9%A3%9F%E5%A0%82&query_place_id=ChIJcUEPYsavQjQRp9kqfV4FZqA"
"Poffertjes Cafe","4.2","2962","No. 18號, Lane 52, Chang'an W Rd",,"Datong District, Taipei City","TW","https://www.facebook.com/pages/%E8%8D%B7%E8%98%AD%E5%B0%8F%E9%AC%86%E9%A4%85/183367918383777?ref=hl","+886 2 2552 3252","Pancake restaurant","https://www.google.com/maps/search/?api=1&query=Poffertjes%20Cafe&query_place_id=ChIJgYYQ1m2pQjQRC3kF1MNEAdM"
"Nearby Cafe 附近咖啡","4.5","361","No. 4-1號, Alley 3, Lane 78, Chang'an W Rd",,"Datong District, Taipei City","TW","https://www.facebook.com/Nearbycafe/?locale=zh_TW","+886 2 2550 0335","Coffee shop","https://www.google.com/maps/search/?api=1&query=Nearby%20Cafe%20%E9%99%84%E8%BF%91%E5%92%96%E5%95%A1&query_place_id=ChIJUX-lgjWpQjQRO1OC4UqI2iQ"
"Vagabond Cafe 流浪觀點","4.7","163","No. 13, Fushou St",,"Shilin District, Taipei City","TW",,"+886 2 2831 1195","Coffee store","https://www.google.com/maps/search/?api=1&query=Vagabond%20Cafe%20%E6%B5%81%E6%B5%AA%E8%A7%80%E9%BB%9E&query_place_id=ChIJX3XyujOvQjQRrn7vlTQmGWY"
"Rhyme Café 韻咖啡","4.8","155","No. 52號, Daxing St",,"Beitou District, Taipei City","TW","https://www.instagram.com/rhyme_cafe","+886 2 2895 6663","Brunch restaurant","https://www.google.com/maps/search/?api=1&query=Rhyme%20Caf%C3%A9%20%E9%9F%BB%E5%92%96%E5%95%A1&query_place_id=ChIJ_encAUCvQjQR7vWIhnfZTuk"
"McCafé 咖啡-台北中央店","4.6","67","Section 4, Zhongyang N Rd, 534號1樓",,"Beitou District, Taipei City","TW","https://www.mcdonalds.com/tw/zh-tw/full-menu/mccafe.html","+886 2 2895 2638","Coffee shop","https://www.google.com/maps/search/?api=1&query=McCaf%C3%A9%20%E5%92%96%E5%95%A1-%E5%8F%B0%E5%8C%97%E4%B8%AD%E5%A4%AE%E5%BA%97&query_place_id=ChIJNcsyOYSvQjQRRxPAZBJwVKo"
"日嚐豆花","4.8","99","Zhonghe St, 386號1樓",,"Beitou District, Taipei City","TW",,"+886 963 258 026","Restaurant","https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E5%9A%90%E8%B1%86%E8%8A%B1&query_place_id=ChIJW32jLIqvQjQRcM9F2C9xPNM"
"M One Cafe Daan","4.4","3797","No. 6-1, Lane 27, Section 4, Ren'ai Rd",,"Da’an District, Taipei City","TW","https://m.facebook.com/MOneCafe/","+886 2 8773 2136","New American restaurant","https://www.google.com/maps/search/?api=1&query=M%20One%20Cafe%20Daan&query_place_id=ChIJNfVW_dCrQjQRg9C_qEES1Ak"
"CAFE ACME｜Shihlin 士林","4.4","448","No. 203號, Fulin Rd",,"Shilin District, Taipei City","TW","http://www.acmetaipei.com/","+886 2 6617 0707","Cafe","https://www.google.com/maps/search/?api=1&query=CAFE%20ACME%EF%BD%9CShihlin%20%E5%A3%AB%E6%9E%97&query_place_id=ChIJN_NxPkWvQjQR1u2UC7jT6S0"
"McCafé 咖啡-昆明店","4.9","25","No. 92之4號, Kunming St",,"Wanhua District, Taipei City","TW","https://www.mcdonalds.com/tw/zh-tw/full-menu/mccafe.html","+886 2 2314 6526","Coffee shop","https://www.google.com/maps/search/?api=1&query=McCaf%C3%A9%20%E5%92%96%E5%95%A1-%E6%98%86%E6%98%8E%E5%BA%97&query_place_id=ChIJa9pydLSpQjQRIxvJx2604vI"
"山边咖啡 Brae Café","4.7","704","No. 110-1號, Wenquan Rd",,"Beitou District, Taipei City","TW",,,"Cafe","https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E8%BE%B9%E5%92%96%E5%95%A1%20Brae%20Caf%C3%A9&query_place_id=ChIJk7jbcxKvQjQR-HWxzlgfSLY"
"Bonita廚房","4.2","1082","Alley 3, Lane 515, Section 4, Zhongyang N Rd, 1號1樓",,"Beitou District, Taipei City","TW",,"+886 2 2891 8883","Small plates restaurant","https://www.google.com/maps/search/?api=1&query=Bonita%E5%BB%9A%E6%88%BF&query_place_id=ChIJbe2hrQyvQjQRRntz_54mX3U"
"YOLO's Cafe","4.7","385","No. 16號, Lane 164, Fuhua Rd",,"Shilin District, Taipei City","TW","https://www.mplusapp.com/gmb/yoloscafe/","+886 2 2836 8998","Cafe","https://www.google.com/maps/search/?api=1&query=YOLO's%20Cafe&query_place_id=ChIJRdFrJpeuQjQRiyGIizz5UVY"
"金仙魚丸店","4","181","No. 466號, Zhonghe St",,"Beitou District, Taipei City","TW",,"+886 2 2894 9296","Mandarin restaurant","https://www.google.com/maps/search/?api=1&query=%E9%87%91%E4%BB%99%E9%AD%9A%E4%B8%B8%E5%BA%97&query_place_id=ChIJn2D1uEuuQjQRUfU_LZ34HoI"
"Remember Me Café","4.5","2832","No. 16號, Alley 4, Lane 133, Section 4, Nanjing E Rd",,"Songshan District, Taipei City","TW","https://www.facebook.com/remembermecafe/","+886 2 2547 1517","Cafe","https://www.google.com/maps/search/?api=1&query=Remember%20Me%20Caf%C3%A9&query_place_id=ChIJ8TuKLOqrQjQRSrGsTe4tu2o"
